,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name
50,Algeria,DZA,2021-02-07,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
51,Algeria,DZA,2021-02-08,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
52,Algeria,DZA,2021-02-09,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
53,Algeria,DZA,2021-02-10,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
54,Algeria,DZA,2021-02-11,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
55,Algeria,DZA,2021-02-12,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
56,Algeria,DZA,2021-02-13,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
57,Algeria,DZA,2021-02-14,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
58,Algeria,DZA,2021-02-15,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
59,Algeria,DZA,2021-02-16,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
60,Algeria,DZA,2021-02-17,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
61,Algeria,DZA,2021-02-18,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
62,Algeria,DZA,2021-02-19,75000.0,0.0,0.0,3748.0,0.17,0.0,0.0,85.0,Sputnik V,Ministry of Health
63,Andorra,AND,2021-01-25,576.0,576.0,0.0,0.0,0.75,0.75,0.0,0.0,Pfizer/BioNTech,Government of Andorra
64,Andorra,AND,2021-01-26,0.0,0.0,0.0,66.0,0.0,0.0,0.0,854.0,Pfizer/BioNTech,Government of Andorra
65,Andorra,AND,2021-01-27,0.0,0.0,0.0,66.0,0.0,0.0,0.0,854.0,Pfizer/BioNTech,Government of Andorra
66,Andorra,AND,2021-01-28,0.0,0.0,0.0,66.0,0.0,0.0,0.0,854.0,Pfizer/BioNTech,Government of Andorra
67,Andorra,AND,2021-01-29,0.0,0.0,0.0,66.0,0.0,0.0,0.0,854.0,Pfizer/BioNTech,Government of Andorra
68,Andorra,AND,2021-01-30,0.0,0.0,0.0,66.0,0.0,0.0,0.0,854.0,Pfizer/BioNTech,Government of Andorra
69,Andorra,AND,2021-01-31,0.0,0.0,0.0,66.0,0.0,0.0,0.0,854.0,Pfizer/BioNTech,Government of Andorra
70,Andorra,AND,2021-02-01,1036.0,1036.0,0.0,66.0,1.34,1.34,0.0,854.0,Pfizer/BioNTech,Government of Andorra
71,Andorra,AND,2021-02-02,0.0,0.0,0.0,60.0,0.0,0.0,0.0,777.0,Pfizer/BioNTech,Government of Andorra
72,Andorra,AND,2021-02-03,0.0,0.0,0.0,55.0,0.0,0.0,0.0,712.0,Pfizer/BioNTech,Government of Andorra
73,Andorra,AND,2021-02-04,0.0,0.0,0.0,50.0,0.0,0.0,0.0,647.0,Pfizer/BioNTech,Government of Andorra
74,Andorra,AND,2021-02-05,0.0,0.0,0.0,44.0,0.0,0.0,0.0,569.0,Pfizer/BioNTech,Government of Andorra
75,Andorra,AND,2021-02-06,0.0,0.0,0.0,39.0,0.0,0.0,0.0,505.0,Pfizer/BioNTech,Government of Andorra
76,Andorra,AND,2021-02-07,0.0,0.0,0.0,34.0,0.0,0.0,0.0,440.0,Pfizer/BioNTech,Government of Andorra
77,Andorra,AND,2021-02-08,0.0,0.0,0.0,28.0,0.0,0.0,0.0,362.0,Pfizer/BioNTech,Government of Andorra
78,Andorra,AND,2021-02-09,0.0,0.0,0.0,28.0,0.0,0.0,0.0,362.0,Pfizer/BioNTech,Government of Andorra
79,Andorra,AND,2021-02-10,1291.0,1291.0,0.0,28.0,1.67,1.67,0.0,362.0,Pfizer/BioNTech,Government of Andorra
80,Andorra,AND,2021-02-11,0.0,0.0,0.0,48.0,0.0,0.0,0.0,621.0,Pfizer/BioNTech,Government of Andorra
81,Andorra,AND,2021-02-12,1622.0,1622.0,0.0,68.0,2.1,2.1,0.0,880.0,Pfizer/BioNTech,Government of Andorra
82,Andorra,AND,2021-02-13,0.0,0.0,0.0,74.0,0.0,0.0,0.0,958.0,Pfizer/BioNTech,Government of Andorra
83,Andorra,AND,2021-02-14,0.0,0.0,0.0,81.0,0.0,0.0,0.0,1048.0,Pfizer/BioNTech,Government of Andorra
84,Andorra,AND,2021-02-15,0.0,0.0,0.0,87.0,0.0,0.0,0.0,1126.0,Pfizer/BioNTech,Government of Andorra
85,Andorra,AND,2021-02-16,0.0,0.0,0.0,94.0,0.0,0.0,0.0,1217.0,Pfizer/BioNTech,Government of Andorra
86,Andorra,AND,2021-02-17,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1294.0,Pfizer/BioNTech,Government of Andorra
87,Andorra,AND,2021-02-18,0.0,0.0,0.0,87.0,0.0,0.0,0.0,1126.0,Pfizer/BioNTech,Government of Andorra
88,Andorra,AND,2021-02-19,2141.0,2141.0,0.0,74.0,2.77,2.77,0.0,958.0,Pfizer/BioNTech,Government of Andorra
89,Anguilla,AIA,2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health
90,Anguilla,AIA,2021-02-05,0.0,0.0,0.0,149.0,0.0,0.0,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health
91,Anguilla,AIA,2021-02-06,0.0,0.0,0.0,149.0,0.0,0.0,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health
92,Anguilla,AIA,2021-02-07,0.0,0.0,0.0,149.0,0.0,0.0,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health
93,Anguilla,AIA,2021-02-08,0.0,0.0,0.0,149.0,0.0,0.0,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health
94,Anguilla,AIA,2021-02-09,0.0,0.0,0.0,149.0,0.0,0.0,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health
95,Anguilla,AIA,2021-02-10,0.0,0.0,0.0,149.0,0.0,0.0,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health
96,Anguilla,AIA,2021-02-11,0.0,0.0,0.0,149.0,0.0,0.0,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health
97,Anguilla,AIA,2021-02-12,0.0,0.0,0.0,149.0,0.0,0.0,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health
98,Anguilla,AIA,2021-02-13,1341.0,1341.0,0.0,149.0,8.94,8.94,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health
99,Anguilla,AIA,2021-02-14,2762.0,2762.0,0.0,331.0,18.41,18.41,0.0,22064.0,Oxford/AstraZeneca,Ministry of Health
100,Argentina,ARG,2020-12-29,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sputnik V,Ministry of Health
101,Argentina,ARG,2020-12-30,0.0,0.0,0.0,15656.0,0.0,0.0,0.0,346.0,Sputnik V,Ministry of Health
102,Argentina,ARG,2020-12-31,32013.0,0.0,0.0,15656.0,0.07,0.0,0.0,346.0,Sputnik V,Ministry of Health
103,Argentina,ARG,2021-01-01,0.0,0.0,0.0,11070.0,0.0,0.0,0.0,245.0,Sputnik V,Ministry of Health
104,Argentina,ARG,2021-01-02,0.0,0.0,0.0,8776.0,0.0,0.0,0.0,194.0,Sputnik V,Ministry of Health
105,Argentina,ARG,2021-01-03,0.0,0.0,0.0,7400.0,0.0,0.0,0.0,164.0,Sputnik V,Ministry of Health
106,Argentina,ARG,2021-01-04,39599.0,0.0,0.0,6483.0,0.09,0.0,0.0,143.0,Sputnik V,Ministry of Health
107,Argentina,ARG,2021-01-05,0.0,0.0,0.0,7984.0,0.0,0.0,0.0,177.0,Sputnik V,Ministry of Health
108,Argentina,ARG,2021-01-06,0.0,0.0,0.0,8173.0,0.0,0.0,0.0,181.0,Sputnik V,Ministry of Health
109,Argentina,ARG,2021-01-07,0.0,0.0,0.0,8363.0,0.0,0.0,0.0,185.0,Sputnik V,Ministry of Health
110,Argentina,ARG,2021-01-08,107542.0,0.0,0.0,10519.0,0.24,0.0,0.0,233.0,Sputnik V,Ministry of Health
111,Argentina,ARG,2021-01-09,0.0,0.0,0.0,11942.0,0.0,0.0,0.0,264.0,Sputnik V,Ministry of Health
112,Argentina,ARG,2021-01-10,0.0,0.0,0.0,13365.0,0.0,0.0,0.0,296.0,Sputnik V,Ministry of Health
113,Argentina,ARG,2021-01-11,0.0,0.0,0.0,14788.0,0.0,0.0,0.0,327.0,Sputnik V,Ministry of Health
114,Argentina,ARG,2021-01-12,0.0,0.0,0.0,14056.0,0.0,0.0,0.0,311.0,Sputnik V,Ministry of Health
115,Argentina,ARG,2021-01-13,166833.0,0.0,0.0,13323.0,0.37,0.0,0.0,295.0,Sputnik V,Ministry of Health
116,Argentina,ARG,2021-01-14,0.0,0.0,0.0,13320.0,0.0,0.0,0.0,295.0,Sputnik V,Ministry of Health
117,Argentina,ARG,2021-01-15,200759.0,0.0,0.0,13317.0,0.44,0.0,0.0,295.0,Sputnik V,Ministry of Health
118,Argentina,ARG,2021-01-16,0.0,0.0,0.0,12971.0,0.0,0.0,0.0,287.0,Sputnik V,Ministry of Health
119,Argentina,ARG,2021-01-17,0.0,0.0,0.0,12624.0,0.0,0.0,0.0,279.0,Sputnik V,Ministry of Health
120,Argentina,ARG,2021-01-18,0.0,0.0,0.0,12278.0,0.0,0.0,0.0,272.0,Sputnik V,Ministry of Health
121,Argentina,ARG,2021-01-19,0.0,0.0,0.0,11932.0,0.0,0.0,0.0,264.0,Sputnik V,Ministry of Health
122,Argentina,ARG,2021-01-20,247933.0,243539.0,4394.0,11586.0,0.55,0.54,0.01,256.0,Sputnik V,Ministry of Health
123,Argentina,ARG,2021-01-21,265724.0,249372.0,16352.0,11704.0,0.59,0.55,0.04,259.0,Sputnik V,Ministry of Health
124,Argentina,ARG,2021-01-22,279602.0,254456.0,25146.0,11263.0,0.62,0.56,0.06,249.0,Sputnik V,Ministry of Health
125,Argentina,ARG,2021-01-23,288064.0,258876.0,29188.0,11124.0,0.64,0.57,0.06,246.0,Sputnik V,Ministry of Health
126,Argentina,ARG,2021-01-24,292023.0,260036.0,31987.0,10342.0,0.65,0.58,0.07,229.0,Sputnik V,Ministry of Health
127,Argentina,ARG,2021-01-25,292386.0,260122.0,32264.0,9046.0,0.65,0.58,0.07,200.0,Sputnik V,Ministry of Health
128,Argentina,ARG,2021-01-26,305880.0,266969.0,38911.0,9626.0,0.68,0.59,0.09,213.0,Sputnik V,Ministry of Health
129,Argentina,ARG,2021-01-27,318033.0,272323.0,45710.0,10014.0,0.7,0.6,0.1,222.0,Sputnik V,Ministry of Health
130,Argentina,ARG,2021-01-28,327999.0,276548.0,51451.0,8896.0,0.73,0.61,0.11,197.0,Sputnik V,Ministry of Health
131,Argentina,ARG,2021-01-29,344034.0,278451.0,65583.0,9205.0,0.76,0.62,0.15,204.0,Sputnik V,Ministry of Health
132,Argentina,ARG,2021-01-30,366384.0,281023.0,85361.0,11189.0,0.81,0.62,0.19,248.0,Sputnik V,Ministry of Health
133,Argentina,ARG,2021-01-31,0.0,0.0,0.0,11299.0,0.0,0.0,0.0,250.0,Sputnik V,Ministry of Health
134,Argentina,ARG,2021-02-01,375851.0,281577.0,94274.0,11924.0,0.83,0.62,0.21,264.0,Sputnik V,Ministry of Health
135,Argentina,ARG,2021-02-02,0.0,0.0,0.0,11475.0,0.0,0.0,0.0,254.0,Sputnik V,Ministry of Health
136,Argentina,ARG,2021-02-03,396562.0,284196.0,112366.0,11218.0,0.88,0.63,0.25,248.0,Sputnik V,Ministry of Health
137,Argentina,ARG,2021-02-04,444018.0,297717.0,146301.0,16574.0,0.98,0.66,0.32,367.0,Sputnik V,Ministry of Health
138,Argentina,ARG,2021-02-05,0.0,0.0,0.0,16238.0,0.0,0.0,0.0,359.0,Sputnik V,Ministry of Health
139,Argentina,ARG,2021-02-06,471383.0,307501.0,163882.0,15000.0,1.04,0.68,0.36,332.0,Sputnik V,Ministry of Health
140,Argentina,ARG,2021-02-07,501152.0,319316.0,181836.0,18576.0,1.11,0.71,0.4,411.0,Sputnik V,Ministry of Health
141,Argentina,ARG,2021-02-08,511582.0,322318.0,189264.0,19390.0,1.13,0.71,0.42,429.0,Sputnik V,Ministry of Health
142,Argentina,ARG,2021-02-09,513178.0,322975.0,190203.0,18139.0,1.14,0.71,0.42,401.0,Sputnik V,Ministry of Health
143,Argentina,ARG,2021-02-10,535303.0,337772.0,197531.0,19820.0,1.18,0.75,0.44,439.0,Sputnik V,Ministry of Health
144,Argentina,ARG,2021-02-11,572928.0,362649.0,210279.0,18416.0,1.27,0.8,0.47,407.0,Sputnik V,Ministry of Health
145,Argentina,ARG,2021-02-12,591632.0,368023.0,223609.0,19133.0,1.31,0.81,0.49,423.0,Sputnik V,Ministry of Health
146,Argentina,ARG,2021-02-13,606245.0,371629.0,234616.0,19266.0,1.34,0.82,0.52,426.0,Sputnik V,Ministry of Health
147,Argentina,ARG,2021-02-14,609605.0,372122.0,237483.0,15493.0,1.35,0.82,0.53,343.0,Sputnik V,Ministry of Health
148,Argentina,ARG,2021-02-15,609791.0,372181.0,237610.0,14030.0,1.35,0.82,0.53,310.0,Sputnik V,Ministry of Health
149,Argentina,ARG,2021-02-16,611169.0,373253.0,237916.0,13999.0,1.35,0.83,0.53,310.0,Sputnik V,Ministry of Health
150,Argentina,ARG,2021-02-17,612322.0,374002.0,238320.0,11003.0,1.35,0.83,0.53,243.0,Sputnik V,Ministry of Health
151,Argentina,ARG,2021-02-18,635583.0,392399.0,243184.0,8951.0,1.41,0.87,0.54,198.0,Sputnik V,Ministry of Health
152,Argentina,ARG,2021-02-19,668654.0,414958.0,253696.0,11003.0,1.48,0.92,0.56,243.0,Sputnik V,Ministry of Health
153,Argentina,ARG,2021-02-20,707148.0,445614.0,261534.0,14415.0,1.56,0.99,0.58,319.0,Sputnik V,Ministry of Health
154,Argentina,ARG,2021-02-21,720267.0,456929.0,263338.0,15809.0,1.59,1.01,0.58,350.0,Sputnik V,Ministry of Health
155,Argentina,ARG,2021-02-22,722234.0,458822.0,263412.0,16063.0,1.6,1.02,0.58,355.0,Sputnik V,Ministry of Health
156,Argentina,ARG,2021-02-23,746615.0,481689.0,264926.0,19349.0,1.65,1.07,0.59,428.0,Sputnik V,Ministry of Health
157,Australia,AUS,2021-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
158,Australia,AUS,2021-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
159,Australia,AUS,2021-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
160,Australia,AUS,2021-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
161,Australia,AUS,2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
162,Australia,AUS,2021-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
163,Australia,AUS,2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
164,Australia,AUS,2021-02-22,20.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
165,Australia,AUS,2021-02-23,2879.0,2879.0,0.0,411.0,0.01,0.01,0.0,16.0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
166,Austria,AUT,2021-01-10,0.0,6784.0,0.0,0.0,0.0,0.08,0.0,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
167,Austria,AUT,2021-01-11,0.0,11559.0,0.0,0.0,0.0,0.13,0.0,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
168,Austria,AUT,2021-01-12,0.0,13172.0,0.0,0.0,0.0,0.15,0.0,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
169,Austria,AUT,2021-01-13,21259.0,20064.0,0.0,0.0,0.24,0.22,0.0,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
170,Austria,AUT,2021-01-14,47087.0,29359.0,0.0,6457.0,0.52,0.33,0.0,717.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
171,Austria,AUT,2021-01-15,67473.0,39751.0,0.0,9243.0,0.75,0.44,0.0,1026.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
172,Austria,AUT,2021-01-16,76066.0,50402.0,0.0,9134.0,0.84,0.56,0.0,1014.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
173,Austria,AUT,2021-01-17,82005.0,55450.0,0.0,8678.0,0.91,0.62,0.0,964.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
174,Austria,AUT,2021-01-18,88973.0,60708.0,304.0,9673.0,0.99,0.67,0.0,1074.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
175,Austria,AUT,2021-01-19,97389.0,70474.0,1034.0,10876.0,1.08,0.78,0.01,1208.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
176,Austria,AUT,2021-01-20,127354.0,86888.0,2007.0,15156.0,1.41,0.96,0.02,1683.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
177,Austria,AUT,2021-01-21,152843.0,105038.0,3214.0,15108.0,1.7,1.17,0.04,1677.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
178,Austria,AUT,2021-01-22,163692.0,121216.0,3540.0,13746.0,1.82,1.35,0.04,1526.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
179,Austria,AUT,2021-01-23,168700.0,132105.0,4243.0,13233.0,1.87,1.47,0.05,1469.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
180,Austria,AUT,2021-01-24,171416.0,135249.0,4289.0,12773.0,1.9,1.5,0.05,1418.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
181,Austria,AUT,2021-01-25,177179.0,137044.0,4306.0,12601.0,1.97,1.52,0.05,1399.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
182,Austria,AUT,2021-01-26,187606.0,146587.0,4346.0,12888.0,2.08,1.63,0.05,1431.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
183,Austria,AUT,2021-01-27,191749.0,153859.0,5126.0,9199.0,2.13,1.71,0.06,1021.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
184,Austria,AUT,2021-01-28,198091.0,163806.0,5633.0,6464.0,2.2,1.82,0.06,718.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
185,Austria,AUT,2021-01-29,208878.0,174262.0,7157.0,6455.0,2.32,1.93,0.08,717.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
186,Austria,AUT,2021-01-30,220647.0,183628.0,13551.0,7421.0,2.45,2.04,0.15,824.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
187,Austria,AUT,2021-01-31,224792.0,185291.0,15207.0,7625.0,2.5,2.06,0.17,847.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
188,Austria,AUT,2021-02-01,227802.0,186479.0,15866.0,7232.0,2.53,2.07,0.18,803.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
189,Austria,AUT,2021-02-02,241258.0,189926.0,19062.0,7665.0,2.68,2.11,0.21,851.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
190,Austria,AUT,2021-02-03,252707.0,194287.0,28233.0,8708.0,2.81,2.16,0.31,967.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
